PLN_AREA_N,Crime
CENTRAL WATER CATCHMENT,0.946988242
ANG MO KIO,0.836878097
PAYA LEBAR,0.636504158
BEDOK,0.875074178
BISHAN,0.764506553
BUKIT BATOK,0.73711015
BUKIT MERAH ,0.725705998
BUKIT MERAH ,0.746739497
BUKIT PANJANG,0.784372932
BUKIT TIMAH,0.91636204
CHANGI,0.943552098
CHOA CHU KANG,0.427922333
CLEMENTI,0.704834124
GEYLANG,0.067132439
HOUGANG,0.709204188
JURONG EAST,0.850759036
JURONG WEST,0.70520561
NEWTON,0
MARINE PARADE,0.661857591
PIONEER,0.663883486
TANGLIN,0.278930102
PASIR RIS,0.854618851
QUEENSTOWN,0.857028971
KALLANG,0.423408409
SEMBAWANG,0.883475797
SERANGOON,0.798291703
TAMPINES,0.814938493
TOA PAYOH,0.590009265
WOODLANDS,0.833878853
SIMPANG,0.645501216
YISHUN,0.930906369
SENGKANG,0.712049958
PUNGGOL,0.960924153
DOWNTOWN CORE,0.122170813
SUNGEI KADUT,0.669107344