PLN_AREA_N,Healthcare
ANG MO KIO,0.684931507
BEDOK,1
BISHAN,0.205479452
BOON LAY,0.01369863
BUKIT BATOK,0.438356164
BUKIT MERAH,0.657534247
BUKIT PANJANG,0.219178082
BUKIT TIMAH,0.219178082
CHANGI,0.095890411
CHOA CHU KANG,0.328767123
CLEMENTI,0.287671233
DOWNTOWN CORE,0.369863014
GEYLANG,0.452054795
HOUGANG,0.589041096
JURONG EAST,0.342465753
JURONG WEST,0.753424658
KALLANG,0.383561644
MARINE PARADE,0.178082192
MUSEUM,0.04109589
NEWTON,0.054794521
NOVENA,0.315068493
ORCHARD,0.219178082
OUTRAM,0.164383562
PASIR RIS,0.287671233
PAYA LEBAR,0.01369863
PIONEER,0.01369863
PUNGGOL,0.315068493
QUEENSTOWN,0.383561644
ROCHOR,0.219178082
SEMBAWANG,0.150684932
SENGKANG,0.369863014
SERANGOON,0.315068493
SOUTHERN ISLANDS,0.01369863
TAMPINES,0.876712329
TANGLIN,0.04109589
TOA PAYOH,0.547945205
TUAS,0.01369863
WESTERN ISLANDS,0.01369863
WOODLANDS,0.424657534
YISHUN,0.671232877